 BubbleSort threads: 1, Time: 67439743us; BubbleSort threads: 8, Time: 49207376us; BubbleSort threads: 8, Time: 48677545us;
274;3907;5480;
275;3923;5486;
276;3931;5487;
277;3944;5487;
278;3944;5509;
279;3953;5519;
280;3960;5521;
281;3967;5561;
282;3972;5571;
283;3978;5617;
284;3982;5621;
285;3984;5650;
286;3986;5658;
287;3988;5699;
288;4009;5711;
289;4047;5726;
290;4057;5772;
291;4060;5774;
292;4102;5803;
293;4125;5818;
294;4136;5824;
295;4145;5848;
296;4150;5885;
297;4156;5898;
298;4165;5923;
299;4193;5933;
300;4198;5960;
301;4203;5991;
302;4212;5996;
303;4226;5999;
304;4248;6009;
305;4249;6014;
306;4255;6026;
307;4274;6058;
308;4297;6085;
309;4303;6091;
310;4308;6100;
311;4309;6110;
312;4313;6119;
313;4316;6119;
314;4321;6127;
315;4341;6152;
316;4393;6154;
317;4421;6171;
318;4424;6202;
319;4425;6202;
320;4450;6202;
321;4487;6239;
322;4495;6239;
323;4496;6258;
324;4500;6264;
325;4533;6322;
326;4542;6376;
327;4548;6376;
328;4557;6381;
329;4571;6390;
330;4573;6392;
331;4575;6395;
332;4576;6414;
333;4579;6446;
334;4597;6449;
335;4662;6451;
336;4679;6454;
337;4692;6503;
338;4710;6528;
339;4712;6551;
340;4726;6572;
341;4728;6576;
342;4734;6589;
343;4736;6592;
344;4766;6596;
345;4775;6596;
346;4786;6596;
347;4794;6653;
348;4826;6676;
349;4839;6701;
350;4840;6707;
351;4848;6710;
352;4848;6710;
353;4859;6741;
354;4862;6789;
355;4868;6829;
356;4873;6857;
357;4909;6867;
358;4992;6883;
359;4992;6936;
360;5007;6959;
361;5008;6964;
362;5008;6965;
363;5016;6982;
364;5017;7012;
365;5017;7013;
366;5048;7014;
367;5051;7042;
368;5116;7061;
369;5118;7071;
370;5127;7071;
371;5165;7072;
372;5177;7079;
373;5204;7086;
374;5214;7099;
375;5237;7101;
376;5260;7108;
377;5275;7123;
378;5287;7131;
379;5293;7164;
380;5320;7175;
381;5335;7181;
382;5338;7189;
383;5349;7205;
384;5365;7218;
385;5375;7218;
386;5394;7226;
387;5403;7229;
388;5419;7229;
389;5428;7238;
390;5428;7242;
391;5470;7274;
392;5472;7293;
393;5474;7329;
394;5480;7334;
395;5486;7334;
396;5487;7338;
397;5490;7338;
398;5502;7345;
399;5509;7354;
400;5519;7386;
401;5520;7399;
402;5521;7399;
403;5559;7407;
404;5561;7408;
405;5562;7464;
406;5595;7482;
407;5610;7493;
408;5617;7518;
409;5621;7519;
410;5650;7531;
411;5658;7537;
412;5699;7551;
413;5726;7552;
414;5733;7577;
415;5772;7597;
416;5774;7607;
417;5796;7626;
418;5803;7627;
419;5818;7644;
420;5819;7661;
421;5820;7682;
422;5824;7682;
423;5842;7696;
424;5847;7718;
425;5848;7771;
426;5858;7778;
427;5864;7789;
428;5898;7887;
429;5913;7887;
430;5913;7889;
431;5923;7915;
432;5931;7924;
433;5933;7926;
434;5948;7956;
435;5960;7965;
436;5996;7982;
437;5999;7984;
438;6002;7984;
439;6009;8002;
440;6014;8004;
441;6026;8004;
442;6042;8014;
443;6044;8016;
444;6058;8016;
445;6065;8042;
446;6081;8043;
447;6084;8043;
448;6085;8082;
449;6091;8086;
450;6099;8140;
451;6100;8142;
452;6100;8142;
453;6110;8206;
454;6119;8216;
455;6127;8273;
456;6152;8288;
457;6152;8326;
458;6154;8348;
459;6155;8348;
460;6171;8362;
461;6190;8362;
462;6202;8386;
463;6207;8400;
464;6218;8407;
465;6237;8410;
466;6239;8411;
467;6258;8416;
468;6273;8416;
469;6295;8440;
470;6306;8462;
471;6309;8496;
472;6333;8512;
473;6353;8580;
474;6353;8580;
475;6353;8583;
476;6358;8585;
477;6374;8587;
478;6376;8596;
479;6381;8597;
480;6390;8599;
481;6392;8614;
482;6395;8624;
483;6402;8638;
484;6406;8638;
485;6414;8638;
486;6422;8661;
487;6451;8691;
488;6451;8701;
489;6503;8711;
490;6503;8731;
491;6528;8748;
492;6551;8757;
493;6558;8759;
494;6562;8759;
495;6569;8802;
496;6572;8804;
497;6572;8827;
498;6574;8844;
499;6576;8848;
500;6582;8848;
501;6582;8894;
502;6589;8900;
503;6592;8927;
504;6596;8951;
505;6653;8969;
506;6668;9001;
507;6676;9028;
508;6701;9068;
509;6707;9079;
510;6710;9079;
511;6741;9089;
512;6767;9091;
513;6768;9092;
514;6774;9114;
515;6789;9132;
516;6815;9132;
517;6829;9180;
518;6840;9180;
519;6840;9213;
520;6857;9248;
521;6867;9248;
522;6867;9285;
523;6883;9285;
524;6886;9285;
525;6886;9327;
526;6892;9333;
527;6920;9344;
528;6936;9356;
529;6957;9356;
530;6959;9356;
531;6959;9363;
532;6964;9363;
533;6965;9363;
534;6982;9379;
535;6987;9379;
536;7008;9403;
537;7008;9433;
538;7011;9437;
539;7011;9437;
540;7011;9466;
541;7012;9479;
542;7013;9535;
543;7042;9543;
544;7071;9556;
545;7079;9567;
546;7082;9592;
547;7086;9592;
548;7099;9603;
549;7101;9603;
550;7108;9610;
551;7123;9610;
552;7123;9624;
553;7131;9644;
554;7164;9644;
555;7175;9658;
556;7181;9664;
557;7189;9677;
558;7205;9725;
559;7218;9744;
560;7226;9753;
561;7229;9753;
562;7238;9771;
563;7274;9774;
564;7308;9777;
565;7329;9783;
566;7334;9805;
567;7338;9823;
568;7345;9823;
569;7354;9829;
570;7354;9829;
571;7386;9868;
572;7386;9868;
573;7388;9868;
574;7399;9872;
575;7403;9872;
576;7407;9885;
577;7408;9890;
578;7417;9898;
579;7464;9898;
580;7518;9925;
581;7531;9927;
582;7537;9929;
583;7537;9948;
584;7537;9965;
585;7551;9965;
586;7552;9965;
587;7555;9972;
588;7584;9972;
589;7586;9972;
590;7586;9977;
591;7599;9977;
592;7614;9982;
593;7626;9982;
594;7626;9982;
595;7627;9988;
596;7661;9988;
597;7663;9988;
598;7665;10009;
599;7682;10014;
600;7682;10014;
601;7696;10031;
602;7696;10046;
603;7718;10053;
604;7732;10068;
605;7740;10100;
606;7740;10101;
607;7771;10101;
608;7778;10126;
609;7780;10126;
610;7789;10157;
611;7876;10159;
612;7877;10163;
613;7882;10163;
614;7882;10170;
615;7885;10171;
616;7887;10187;
617;7889;10187;
618;7889;10187;
619;7915;10187;
620;7917;10195;
621;7923;10252;
622;7923;10262;
623;7924;10262;
624;7924;10262;
625;7926;10268;
626;7945;10294;
627;7956;10305;
628;7958;10305;
629;7958;10314;
630;7965;10367;
631;7965;10390;
632;7965;10403;
633;7965;10453;
634;7972;10544;
635;7982;10546;
636;7984;10567;
637;8002;10582;
638;8004;10582;
639;8014;10582;
640;8016;10589;
641;8025;10618;
642;8037;10618;
643;8040;10632;
644;8040;10632;
645;8042;10666;
646;8043;10666;
647;8069;10724;
648;8073;10725;
649;8077;10726;
650;8077;10741;
651;8082;10741;
652;8086;10741;
653;8134;10741;
654;8134;10747;
655;8140;10754;
656;8156;10783;
657;8156;10785;
658;8199;10862;
659;8199;10863;
660;8206;10863;
661;8209;10882;
662;8210;10902;
663;8216;10969;
664;8216;11079;
665;8216;11111;
666;8219;11112;
667;8273;11135;
668;8273;11146;
669;8288;11172;
670;8300;11194;
671;8300;11226;
672;8326;11256;
673;8348;11298;
674;8348;11298;
675;8362;11305;
676;8386;11305;
677;8400;11305;
678;8400;11324;
679;8407;11334;
680;8410;11334;
681;8440;11377;
682;8462;11377;
683;8492;11384;
684;8496;11405;
685;8496;11405;
686;8512;11414;
687;8549;11420;
688;8562;11425;
689;8564;11440;
690;8574;11446;
691;8580;11462;
692;8583;11462;
693;8585;11466;
694;8585;11483;
695;8597;11485;
696;8606;11506;
697;8614;11512;
698;8632;11513;
699;8638;11536;
700;8638;11544;
701;8661;11544;
702;8663;11544;
703;8663;11559;
704;8681;11559;
705;8691;11569;
706;8701;11569;
707;8708;11616;
708;8708;11629;
709;8711;11646;
710;8725;11675;
711;8731;11706;
712;8747;11728;
713;8748;11754;
714;8748;11766;
715;8757;11766;
716;8757;11766;
717;8759;11766;
718;8769;11781;
719;8781;11783;
720;8802;11783;
721;8802;11784;
722;8804;11794;
723;8827;11803;
724;8844;11810;
725;8894;11810;
726;8897;11810;
727;8900;11844;
728;8900;11851;
729;8912;11887;
730;8925;11887;
731;8927;11911;
732;8929;11911;
733;8936;11915;
734;8951;11934;
735;8969;11942;
736;9001;11942;
737;9009;11953;
738;9043;11972;
739;9043;12024;
740;9060;12030;
741;9065;12030;
742;9068;12030;
743;9068;12058;
744;9068;12058;
745;9079;12081;
746;9089;12081;
747;9091;12084;
748;9091;12084;
749;9092;12108;
750;9115;12123;
751;9132;12152;
752;9180;12153;
753;9213;12207;
754;9246;12211;
755;9248;12213;
756;9255;12215;
757;9273;12235;
758;9285;12266;
759;9285;12266;
760;9308;12266;
761;9333;12272;
762;9339;12284;
763;9355;12291;
764;9356;12296;
765;9356;12323;
766;9363;12323;
767;9363;12330;
768;9379;12347;
769;9395;12361;
770;9403;12361;
771;9410;12361;
772;9422;12370;
773;9433;12399;
774;9437;12406;
775;9438;12417;
776;9445;12449;
777;9466;12459;
778;9478;12459;
779;9479;12461;
780;9482;12463;
781;9543;12464;
782;9555;12464;
783;9556;12509;
784;9563;12513;
785;9567;12522;
786;9592;12531;
787;9601;12536;
788;9603;12536;
789;9610;12536;
790;9624;12536;
791;9624;12542;
792;9624;12558;
793;9628;12558;
794;9628;12558;
795;9644;12578;
796;9655;12579;
797;9658;12595;
798;9664;12601;
799;9677;12601;
800;9725;12601;
801;9744;12601;
802;9753;12601;
803;9762;12601;
804;9771;12602;
805;9771;12608;
806;9771;12609;
807;9774;12627;
808;9783;12627;
809;9793;12627;
810;9793;12627;
811;9793;12627;
812;9799;12627;
813;9805;12627;
814;9817;12697;
815;9823;12702;
816;9829;12716;
817;9848;12729;
818;9854;12764;
819;9861;12772;
820;9863;12774;
821;9868;12774;
822;9872;12799;
823;9872;12824;
824;9883;12839;
825;9885;12873;
826;9885;12912;
827;9885;12915;
828;9885;12915;
829;9890;12921;
830;9898;12958;
831;9898;12960;
832;9925;12968;
833;9927;13004;
834;9929;13008;
835;9934;13016;
836;9944;13017;
837;9944;13017;
838;9948;13036;
839;9965;13054;
840;9972;13054;
841;9982;13054;
842;9988;13062;
843;9988;13067;
844;10000;13068;
845;10000;13068;
846;10014;13068;
847;10031;13096;
848;10053;13113;
849;10065;13115;
850;10068;13115;
851;10068;13115;
852;10068;13133;
853;10100;13143;
854;10100;13159;
855;10100;13167;
856;10101;13183;
857;10118;13183;
858;10124;13200;
859;10126;13204;
860;10126;13207;
861;10157;13257;
862;10160;13258;
863;10161;13265;
864;10163;13265;
865;10170;13265;
866;10171;13273;
867;10174;13286;
868;10174;13293;
869;10187;13293;
870;10189;13293;
871;10195;13300;
872;10195;13310;
873;10205;13316;
874;10222;13316;
875;10230;13316;
876;10252;13316;
877;10252;13316;
878;10262;13338;
879;10262;13340;
880;10262;13348;
881;10262;13348;
882;10268;13349;
883;10305;13359;
884;10314;13359;
885;10314;13368;
886;10321;13396;
887;10367;13401;
888;10385;13411;
889;10390;13425;
890;10403;13425;
891;10426;13443;
892;10453;13443;
893;10461;13443;
894;10582;13469;
895;10589;13471;
896;10603;13471;
897;10607;13503;
898;10611;13560;
899;10618;13565;
900;10618;13582;
901;10632;13582;
902;10666;13590;
903;10666;13592;
904;10683;13592;
905;10724;13592;
906;10726;13592;
907;10736;13603;
908;10736;13603;
909;10740;13605;
910;10741;13622;
911;10741;13656;
912;10747;13666;
913;10750;13678;
914;10754;13680;
915;10771;13697;
916;10784;13701;
917;10785;13701;
918;10785;13708;
919;10814;13708;
920;10815;13725;
921;10862;13784;
922;10863;13800;
923;10863;13800;
924;10880;13800;
925;10881;13802;
926;10882;13808;
927;10885;13808;
928;10898;13816;
929;10942;13851;
930;10942;13872;
931;10969;13879;
932;10985;13890;
933;11059;13890;
934;11059;13890;
935;11059;13923;
936;11069;13943;
937;11071;13953;
938;11079;13953;
939;11086;13953;
940;11087;13958;
941;11092;13962;
942;11092;13967;
943;11111;13981;
944;11111;13990;
945;11112;14008;
946;11113;14037;
947;11135;14037;
948;11135;14070;
949;11146;14070;
950;11146;14071;
951;11169;14071;
952;11172;14073;
953;11173;14073;
954;11183;14075;
955;11193;14108;
956;11193;14108;
957;11193;14112;
958;11193;14137;
959;11194;14137;
960;11222;14173;
961;11226;14173;
962;11242;14173;
963;11256;14180;
964;11291;14180;
965;11298;14184;
966;11298;14184;
967;11299;14184;
968;11305;14184;
969;11324;14187;
970;11325;14195;
971;11325;14210;
972;11325;14253;
973;11325;14263;
974;11325;14298;
975;11327;14298;
976;11328;14299;
977;11328;14299;
978;11334;14302;
979;11334;14302;
980;11377;14303;
981;11380;14315;
982;11384;14315;
983;11384;14318;
984;11385;14343;
985;11394;14343;
986;11399;14343;
987;11405;14347;
988;11405;14347;
989;11405;14355;
990;11405;14355;
991;11405;14355;
992;11414;14355;
993;11414;14360;
994;11425;14360;
995;11435;14366;
996;11439;14368;
997;11440;14368;
998;11446;14368;
999;11462;14401;
1000;11466;14410;
1001;11485;14410;
1002;11485;14410;
1003;11485;14410;
1004;11490;14417;
1005;11512;14417;
1006;11513;14424;
1007;11515;14427;
1008;11531;14427;
1009;11531;14427;
1010;11531;14427;
1011;11531;14433;
1012;11531;14435;
1013;11534;14435;
1014;11536;14435;
1015;11544;14435;
1016;11544;14435;
1017;11544;14444;
1018;11544;14452;
1019;11547;14456;
1020;11547;14456;
1021;11559;14462;
1022;11569;14489;
1023;11622;14490;
1024;11629;14490;
1025;11646;14496;
1026;11646;14496;
1027;11675;14498;
1028;11703;14498;
1029;11706;14504;
1030;11706;14504;
1031;11710;14505;
1032;11728;14511;
1033;11754;14511;
1034;11766;14516;
1035;11766;14516;
1036;11781;14516;
1037;11783;14516;
1038;11784;14516;
1039;11794;14523;
1040;11794;14526;
1041;11803;14526;
1042;11810;14530;
1043;11810;14530;
1044;11834;14530;
1045;11844;14530;
1046;11851;14535;
1047;11887;14540;
1048;11911;14556;
1049;11911;14556;
1050;11915;14556;
1051;11934;14556;
1052;11934;14556;
1053;11953;14556;
1054;11964;14556;
1055;11964;14586;
1056;11964;14586;
1057;11964;14586;
1058;11972;14586;
1059;11997;14595;
1060;12023;14611;
1061;12023;14611;
1062;12024;14615;
1063;12030;14623;
1064;12030;14623;
1065;12030;14686;
1066;12049;14686;
1067;12049;14686;
1068;12049;14687;
1069;12058;14690;
1070;12081;14690;
1071;12081;14720;
1072;12081;14733;
1073;12081;14735;
1074;12084;14735;
1075;12108;14746;
1076;12123;14766;
1077;12145;14777;
1078;12152;14783;
1079;12153;14783;
1080;12153;14783;
1081;12156;14783;
1082;12174;14801;
1083;12179;14807;
1084;12181;14807;
1085;12181;14824;
1086;12207;14831;
1087;12211;14842;
1088;12215;14844;
1089;12218;14844;
1090;12235;14872;
1091;12266;14873;
1092;12272;14875;
1093;12284;14888;
1094;12323;14888;
1095;12323;14888;
1096;12330;14943;
1097;12347;14951;
1098;12354;14951;
1099;12361;14951;
1100;12361;14951;
1101;12361;14951;
1102;12370;15011;
1103;12406;15017;
1104;12406;15017;
1105;12406;15017;
1106;12449;15018;
1107;12459;15023;
1108;12459;15040;
1109;12461;15040;
1110;12461;15040;
1111;12463;15046;
1112;12463;15077;
1113;12464;15098;
1114;12488;15098;
1115;12498;15106;
1116;12509;15106;
1117;12513;15117;
1118;12513;15122;
1119;12522;15125;
1120;12522;15125;
1121;12522;15135;
1122;12528;15135;
1123;12528;15163;
1124;12531;15194;
1125;12531;15197;
1126;12531;15197;
1127;12536;15223;
1128;12536;15223;
1129;12538;15223;
1130;12542;15227;
1131;12542;15280;
1132;12558;15280;
1133;12558;15280;
1134;12578;15284;
1135;12579;15296;
1136;12590;15296;
1137;12590;15296;
1138;12590;15296;
1139;12595;15298;
1140;12595;15318;
1141;12601;15318;
1142;12602;15318;
1143;12609;15325;
1144;12609;15334;
1145;12627;15334;
1146;12652;15346;
1147;12670;15366;
1148;12670;15379;
1149;12673;15385;
1150;12673;15412;
1151;12687;15435;
1152;12697;15455;
1153;12697;15455;
1154;12697;15455;
1155;12697;15468;
1156;12702;15468;
1157;12703;15468;
1158;12703;15477;
1159;12716;15479;
1160;12716;15481;
1161;12722;15486;
1162;12723;15507;
1163;12726;15507;
1164;12727;15516;
1165;12727;15517;
1166;12729;15517;
1167;12729;15535;
1168;12764;15535;
1169;12764;15547;
1170;12772;15547;
1171;12772;15547;
1172;12772;15568;
1173;12774;15568;
1174;12774;15571;
1175;12799;15571;
1176;12809;15584;
1177;12816;15590;
1178;12816;15602;
1179;12818;15614;
1180;12818;15628;
1181;12818;15656;
1182;12818;15660;
1183;12824;15662;
1184;12824;15662;
1185;12827;15663;
1186;12839;15668;
1187;12857;15668;
1188;12876;15672;
1189;12889;15676;
1190;12889;15676;
1191;12906;15678;
1192;12906;15678;
1193;12906;15678;
1194;12912;15700;
1195;12915;15704;
1196;12929;15704;
1197;12929;15704;
1198;12929;15704;
1199;12946;15704;
1200;12958;15704;
1201;12958;15718;
1202;12960;15730;
1203;12968;15739;
1204;12968;15739;
1205;12978;15739;
1206;12978;15742;
1207;12994;15756;
1208;13004;15762;
1209;13008;15762;
1210;13008;15769;
1211;13012;15769;
1212;13016;15769;
1213;13016;15769;
1214;13016;15769;
1215;13025;15769;
1216;13025;15769;
1217;13036;15769;
1218;13036;15774;
1219;13054;15774;
1220;13062;15780;
1221;13067;15808;
1222;13068;15820;
1223;13068;15824;
1224;13068;15825;
1225;13068;15826;
1226;13068;15826;
1227;13078;15826;
1228;13096;15826;
1229;13115;15832;
1230;13132;15860;
1231;13132;15867;
1232;13133;15867;
1233;13133;15867;
1234;13154;15893;
1235;13159;15893;
1236;13159;15893;
1237;13159;15893;
1238;13163;15898;
1239;13167;15898;
1240;13183;15911;
1241;13200;15936;
1242;13200;15970;
1243;13200;15973;
1244;13200;15973;
1245;13200;16011;
1246;13203;16043;
1247;13203;16043;
1248;13204;16047;
1249;13204;16047;
1250;13207;16059;
1251;13225;16073;
1252;13225;16073;
1253;13257;16087;
1254;13257;16087;
1255;13257;16087;
1256;13258;16087;
1257;13259;16100;
1258;13265;16100;
1259;13273;16100;
1260;13274;16100;
1261;13286;16101;
1262;13288;16101;
1263;13293;16112;
1264;13293;16112;
1265;13293;16122;
1266;13293;16129;
1267;13293;16140;
1268;13300;16140;
1269;13305;16140;
1270;13305;16140;
1271;13310;16140;
1272;13310;16152;
1273;13316;16160;
1274;13337;16160;
1275;13337;16160;
1276;13338;16207;
1277;13338;16207;
1278;13340;16212;
1279;13340;16215;
1280;13349;16225;
1281;13359;16323;
1282;13359;16323;
1283;13359;16336;
1284;13363;16358;
1285;13368;16400;
1286;13368;16403;
1287;13395;16403;
1288;13396;16414;
1289;13401;16433;
1290;13401;16437;
1291;13411;16437;
1292;13411;16437;
1293;13411;16437;
1294;13411;16437;
1295;13424;16437;
1296;13425;16440;
1297;13443;16441;
1298;13453;16441;
1299;13469;16441;
1300;13469;16441;
1301;13469;16441;
1302;13476;16441;
1303;13476;16441;
1304;13476;16443;
1305;13503;16443;
1306;13503;16469;
1307;13505;16488;
1308;13505;16488;
1309;13505;16488;
1310;13559;16497;
1311;13559;16537;
1312;13560;16537;
1313;13573;16537;
1314;13582;16545;
1315;13582;16553;
1316;13592;16561;
1317;13592;16561;
1318;13592;16564;
1319;13603;16564;
1320;13604;16567;
1321;13604;16567;
1322;13605;16567;
1323;13605;16624;
1324;13613;16636;
1325;13613;16642;
1326;13616;16659;
1327;13622;16661;
1328;13666;16661;
1329;13678;16661;
1330;13680;16706;
1331;13701;16710;
1332;13701;16716;
1333;13708;16716;
1334;13708;16727;
1335;13725;16736;
1336;13725;16736;
1337;13727;16736;
1338;13729;16736;
1339;13730;16736;
1340;13732;16736;
1341;13741;16736;
1342;13741;16741;
1343;13769;16744;
1344;13772;16744;
1345;13776;16744;
1346;13776;16766;
1347;13776;16781;
1348;13784;16793;
1349;13800;16793;
1350;13802;16794;
1351;13802;16794;
1352;13802;16819;
1353;13808;16854;
1354;13808;16854;
1355;13815;16897;
1356;13816;16908;
1357;13819;16916;
1358;13831;16916;
1359;13851;16933;
1360;13871;16934;
1361;13871;16934;
1362;13872;16934;
1363;13872;16934;
1364;13872;16975;
1365;13879;16975;
1366;13890;16975;
1367;13901;16978;
1368;13914;16978;
1369;13914;16992;
1370;13914;17010;
1371;13918;17031;
1372;13931;17031;
1373;13936;17044;
1374;13943;17060;
1375;13943;17067;
1376;13953;17083;
1377;13981;17088;
1378;13990;17102;
1379;14002;17122;
1380;14008;17125;
1381;14020;17131;
1382;14025;17133;
1383;14025;17139;
1384;14037;17140;
1385;14060;17151;
1386;14062;17161;
1387;14062;17168;
1388;14069;17169;
1389;14069;17169;
1390;14070;17172;
1391;14071;17176;
1392;14075;17198;
1393;14093;17198;
1394;14106;17198;
1395;14108;17201;
1396;14112;17201;
1397;14112;17201;
1398;14116;17201;
1399;14128;17201;
1400;14128;17204;
1401;14128;17204;
1402;14137;17204;
1403;14137;17212;
1404;14158;17212;
1405;14173;17212;
1406;14177;17212;
1407;14180;17212;
1408;14184;17226;
1409;14195;17226;
1410;14210;17230;
1411;14217;17231;
1412;14217;17231;
1413;14234;17231;
1414;14234;17232;
1415;14253;17232;
1416;14263;17238;
1417;14263;17243;
1418;14284;17245;
1419;14298;17246;
1420;14299;17246;
1421;14302;17254;
1422;14303;17254;
1423;14303;17285;
1424;14303;17286;
1425;14313;17287;
1426;14315;17325;
1427;14315;17325;
1428;14318;17325;
1429;14318;17329;
1430;14318;17329;
1431;14343;17329;
1432;14344;17329;
1433;14347;17329;
1434;14355;17333;
1435;14355;17347;
1436;14355;17353;
1437;14358;17360;
1438;14360;17360;
1439;14391;17374;
1440;14391;17382;
1441;14391;17431;
1442;14401;17431;
1443;14406;17433;
1444;14410;17436;
1445;14417;17436;
1446;14424;17476;
1447;14427;17478;
1448;14433;17478;
1449;14433;17492;
1450;14433;17493;
1451;14435;17504;
1452;14452;17510;
1453;14452;17514;
1454;14468;17514;
1455;14468;17514;
1456;14468;17522;
1457;14489;17526;
1458;14489;17534;
1459;14490;17534;
1460;14490;17545;
1461;14496;17564;
1462;14498;17564;
1463;14504;17564;
1464;14504;17564;
1465;14505;17564;
1466;14506;17571;
1467;14506;17571;
1468;14511;17595;
1469;14511;17604;
1470;14514;17604;
1471;14526;17610;
1472;14526;17614;
1473;14530;17619;
1474;14530;17622;
1475;14535;17656;
1476;14535;17656;
1477;14535;17661;
1478;14535;17661;
1479;14540;17661;
1480;14554;17661;
1481;14554;17665;
1482;14554;17665;
1483;14554;17665;
1484;14556;17669;
1485;14556;17669;
1486;14556;17683;
1487;14556;17697;
1488;14562;17698;
1489;14575;17698;
1490;14586;17749;
1491;14588;17770;
1492;14588;17797;
1493;14588;17797;
1494;14593;17819;
1495;14595;17819;
1496;14595;17838;
1497;14611;17856;
1498;14619;17856;
